date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2019-04-01 00:00:00+00:00,2138781,6051711,77617945.0,56456.0,26477,71806,4977726.0,12411747.0,62485288.0,9082046.0,15530976.0,6454300.0,12590504.0,26681942.0,90814,20594,20166.0,15425368
2019-04-02 00:00:00+00:00,2011345,2320048,40070351.0,10599.0,23091,35767,3631791.0,11152432.0,41002479.0,7002204.0,10397617.0,7112307.0,11787177.0,24978101.0,201921,14617,624998.0,10591693
2019-04-03 00:00:00+00:00,2180815,3265528,68243202.0,20778.0,26721,87630,4211309.0,11989787.0,52030863.0,7398696.0,12726012.0,17364483.0,13869223.0,15450528.0,216344,137586,22742.0,6683340
2019-04-04 00:00:00+00:00,2371491,4397042,48997505.0,11792.0,45536,101912,3073869.0,10504382.0,54378854.0,9212386.0,9236642.0,6102846.0,11503077.0,16264598.0,102518,40827,16385.0,4385167
2019-04-05 00:00:00+00:00,981208,3112718,58621729.0,68676.0,13490,111308,2946748.0,17269238.0,37088792.0,6262046.0,7531373.0,3668642.0,6709785.0,15419351.0,89218,21163,6981.0,7558403
2019-04-08 00:00:00+00:00,1367518,3231685,53566335.0,23962.0,13242,50380,3231419.0,10602138.0,34998006.0,5961216.0,8819137.0,6574723.0,7309911.0,14681743.0,109232,47967,9812.0,7045672
2019-04-09 00:00:00+00:00,2052794,4161583,66142316.0,19679.0,16767,47163,4456471.0,14541926.0,65954762.0,7207595.0,9814477.0,6110767.0,13440126.0,12993931.0,138069,50861,7037.0,6263712
2019-04-10 00:00:00+00:00,1168180,3602862,52601499.0,6179.0,55215,603139,3406876.0,9375986.0,48232806.0,5433511.0,13974689.0,3797388.0,8617805.0,16891151.0,107075,50842,9537.0,7705295
2019-04-11 00:00:00+00:00,1495546,2731683,55093100.0,16632.0,26216,67209,2165418.0,10914234.0,62205014.0,8534189.0,9532153.0,3494571.0,7697338.0,17420015.0,133850,33129,13935.0,8367303
2019-04-12 00:00:00+00:00,1200932,3395215,69727782.0,12918.0,74026,46737,4538867.0,15426841.0,84627607.0,11659326.0,11175121.0,3608661.0,8555372.0,15926624.0,87913,22265,8057.0,4510025
2019-04-15 00:00:00+00:00,884554,2190288,49596685.0,8054.0,45373,234548,2432718.0,8300980.0,40030367.0,7921955.0,7368111.0,2705083.0,9910693.0,15253376.0,195476,24527,6590.0,5711543
2019-04-16 00:00:00+00:00,2033426,2536007,52153197.0,12663.0,14428,329296,3014556.0,8130337.0,56093380.0,14857099.0,7101573.0,3737478.0,9609547.0,19688846.0,85022,28195,23426.0,13216808
2019-04-17 00:00:00+00:00,1244271,2873566,58268295.0,12920.0,24341,327705,2781367.0,10934622.0,58833989.0,34381753.0,10363901.0,3370239.0,12247872.0,15194799.0,116258,28101,7306.0,11148319
2019-04-18 00:00:00+00:00,1657179,3469185,68708513.0,19689.0,30979,49009,3071288.0,9759653.0,52495728.0,35300882.0,13192661.0,3634417.0,11491949.0,16039368.0,62801,34449,6611.0,5205419
2019-04-22 00:00:00+00:00,1008348,1604153,40160140.0,9933.0,54918,255987,2764755.0,14164657.0,39324122.0,18717732.0,6477790.0,5988068.0,8084368.0,10685482.0,122198,24161,13791.0,9020018
2019-04-23 00:00:00+00:00,1428627,3399175,52246633.0,10759.0,31754,230370,4099784.0,10212221.0,54250320.0,30503353.0,13760481.0,7645160.0,16693005.0,17068171.0,199331,47538,19264.0,6966339
2019-04-24 00:00:00+00:00,1191562,1899821,50392914.0,11385.0,26307,67133,2181383.0,11019051.0,39505227.0,14612816.0,7718026.0,3808269.0,10938268.0,16428356.0,169747,28664,15941.0,6064985
2019-04-25 00:00:00+00:00,1414739,2333830,57770862.0,11116.0,40224,87867,2820071.0,12060913.0,44532302.0,16166445.0,12555935.0,5180061.0,11387585.0,15253408.0,57862,198990,15575.0,5007352
2019-04-26 00:00:00+00:00,1379377,1883384,50916423.0,14191.0,10068,79180,4236856.0,16838386.0,41527922.0,11322007.0,12262594.0,4950092.0,11050219.0,14517404.0,82718,14375,28013.0,5091197
2019-04-29 00:00:00+00:00,1546274,1522458,57197747.0,6710.0,17521,35762,3700251.0,12974541.0,61643171.0,13264357.0,8759251.0,6056504.0,10613331.0,20775908.0,131552,120532,5768.0,5900673
2019-04-30 00:00:00+00:00,1818448,2259245,81111733.0,115261.0,17283,2884334,4339764.0,14327153.0,38800267.0,11750852.0,9546653.0,3399227.0,18842869.0,22016749.0,623649,62831,19921.0,6396927
2019-05-01 00:00:00+00:00,1833422,2902461,71671870.0,104093.0,37575,105869,4561464.0,22155991.0,67969522.0,25596449.0,16918680.0,6550939.0,15446826.0,26412895.0,322990,61847,13176.0,12961709
2019-05-02 00:00:00+00:00,1519212,3660196,65030170.0,38228.0,18323,445915,10408526.0,28033012.0,50972887.0,18927530.0,16360969.0,10973368.0,24988752.0,23464020.0,83092,72584,6409.0,7581917
2019-05-03 00:00:00+00:00,973963,2161568,56543653.0,27210.0,62701,91205,3502942.0,19624559.0,34598895.0,13623977.0,12904073.0,6033379.0,13288420.0,16071256.0,147420,17395,14613.0,5162383
2019-05-06 00:00:00+00:00,1472172,3282557,107198069.0,38253.0,65337,769588,3814048.0,20344657.0,42517377.0,25168305.0,11928825.0,15601099.0,13022479.0,13389683.0,214632,46587,10097.0,5222648
2019-05-07 00:00:00+00:00,3643675,6758077,144729908.0,95670.0,35142,377138,6578626.0,15064718.0,60090811.0,18011732.0,18356220.0,9750966.0,20625711.0,12542240.0,155124,45403,19008.0,8733961
2019-05-08 00:00:00+00:00,1687882,4115167,91568287.0,44816.0,15202,986856,7152701.0,9823707.0,44254544.0,13783307.0,16464956.0,6159679.0,13667465.0,28692351.0,126914,88939,14594.0,5906619
2019-05-09 00:00:00+00:00,2206622,7175426,103471104.0,46267.0,38043,1171466,6383047.0,14409544.0,56468339.0,15692261.0,14923662.0,6714372.0,19300910.0,16173941.0,132003,22148,10094.0,6865578
2019-05-10 00:00:00+00:00,1992757,5456134,112429293.0,47271.0,51445,327752,6820805.0,13074954.0,63453824.0,17771753.0,17419836.0,6472860.0,19596295.0,25157994.0,231192,48526,23468.0,5017278
2019-05-13 00:00:00+00:00,2687616,6326032,127290527.0,55486.0,64613,243821,7642191.0,14070022.0,54962540.0,17436308.0,20011033.0,7048777.0,25461207.0,20096262.0,163927,34141,11120.0,5577282
2019-05-14 00:00:00+00:00,1556861,4308796,77003230.0,28075.0,26503,118522,4595948.0,9241956.0,52398357.0,13147143.0,11318011.0,6101857.0,18404280.0,17609426.0,110506,50146,5333.0,3594252
2019-05-15 00:00:00+00:00,1379398,4151403,73956407.0,25445.0,64831,159644,4156782.0,10092343.0,49061697.0,10587732.0,12289963.0,5262173.0,15048875.0,14577531.0,324251,39968,11381.0,5232011
2019-05-16 00:00:00+00:00,1363716,3889707,76749643.0,26476.0,42255,74817,3615889.0,9376619.0,44872608.0,15123987.0,7450005.0,4905329.0,15444976.0,13908648.0,79634,31584,9023.0,5949328
2019-05-17 00:00:00+00:00,1649001,3652916,100353024.0,22417.0,26144,56251,3674507.0,10555799.0,62711461.0,13354085.0,16305654.0,6083322.0,13543996.0,10477144.0,77224,271418,5255.0,4416157
2019-05-20 00:00:00+00:00,1324310,2613302,62877610.0,27208.0,37272,109236,3538433.0,8186324.0,44357439.0,10757386.0,11638491.0,5016528.0,14673932.0,9118825.0,79028,41748,8449.0,6706295
2019-05-21 00:00:00+00:00,1058291,2376711,46847085.0,36099.0,18823,255381,3660299.0,18380450.0,36851389.0,11690593.0,10612265.0,4371714.0,14841128.0,11504381.0,125708,32599,6177.0,4618376
2019-05-22 00:00:00+00:00,829587,2942596,49482472.0,34172.0,57400,76714,3945431.0,9637121.0,25867584.0,9021899.0,9114746.0,5308497.0,11521081.0,9257875.0,186982,32138,17522.0,3795221
2019-05-23 00:00:00+00:00,5760627,4616946,98733847.0,68598.0,57232,388656,4956488.0,23963613.0,51832904.0,13545414.0,16205768.0,4922673.0,16085696.0,15164644.0,119157,23109,9653.0,5606930
2019-05-24 00:00:00+00:00,896630,2258897,55268095.0,16263.0,37645,245929,2632546.0,10153381.0,30582000.0,9986447.0,11127434.0,4090366.0,11750019.0,8712444.0,43791,28416,5933.0,3582730
2019-05-28 00:00:00+00:00,921379,4580059,70029356.0,21690.0,52095,208878,4117968.0,12930642.0,35177714.0,20795950.0,11263080.0,4826056.0,25772770.0,16397885.0,70960,28231,32151.0,6724378
2019-05-29 00:00:00+00:00,1385572,5192067,104972927.0,44890.0,27575,472179,4768721.0,16951585.0,39700572.0,16302651.0,14257069.0,8738785.0,14754806.0,20119139.0,60676,69042,13157.0,8016987
2019-05-30 00:00:00+00:00,1318398,3454668,62523780.0,28437.0,42195,72925,3897644.0,15173861.0,40641219.0,12457685.0,10103505.0,4475082.0,11420530.0,16822644.0,145715,49276,76153.0,6830813
2019-05-31 00:00:00+00:00,1340468,4891080,86862782.0,35018.0,27754,75975,4252246.0,21898542.0,49259252.0,10712975.0,13718389.0,5991764.0,12039782.0,18256977.0,517615,26751,23963.0,7014061
